trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-212.93968650776776,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-71.31652217306646,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-148.9094908328219,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-75.89477096731943,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-127.34226716057667,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-54.11496318596314,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,1.9782539215102817,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-77.79002855486752,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,7,-13.1404420418096,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-63.57603543101182,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,15,-75.71058960916497,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,6,23.41015976079424,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,10,-1.2269146653136094,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-6.213797177933479,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,28.223650298471167,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,17.901143023456218,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-97.9288372293223,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,5,10.198247762991937,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,21.612713052103587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-32.699711587313516,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,52.04527952461096,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,20,6.810836366624551,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,33.54895677363443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,7,19.378833368759373,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,26.53840472720389,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,16.718599111218975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,4,37.57826743206949,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,10.493829741437137,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,1,2.369085513382295,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,30.103779528092296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
