trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1}",20,0,-57.81549860663661,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.9999875000260416}",30,0,-108.56831408942944,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9999500004166653}",25,0,-63.33577175816535,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.9998875021093592}",35,13,-26.815754605598947,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
5,False,"{'a': 0.05, 'e': 0.9998000066665778}",35,20,-64.19330855767724,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.05, 'e': 0.9996875162757026}",30,13,-125.46889127892001,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
7,False,"{'a': 0.05, 'e': 0.9995500337489875}",20,3,-52.39966113985079,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
8,False,"{'a': 0.05, 'e': 0.9993875625234886}",25,0,-107.50912687886881,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.9992001066609779}",20,0,-75.37469372323211,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.9989876708478425}",25,0,-126.80891981617941,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.9987502603949663}",25,0,-125.63467423077736,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.9984878812375985}",20,0,-124.34576008865263,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.9982005399352042}",20,0,-54.31891037426122,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.9978882436713011}",25,0,-192.65814051056674,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.9975510002532796}",25,0,-93.97003555183244,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.9971888181122075}",25,0,-149.3110223480644,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.05, 'e': 0.9968017063026193}",30,0,-189.05140543788258,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.05, 'e': 0.9963896745022904}",20,4,-110.32513508364516,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 1}",1
19,False,"{'a': 0.05, 'e': 0.9959527330119943}",20,0,-63.79774373046462,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.9954908927552453}",20,0,-59.53089648208117,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.9950041652780257}",20,0,-74.70135294399904,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
22,False,"{'a': 0.05, 'e': 0.9944925627484974}",25,0,-104.94362915240146,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.9939560979566968}",20,0,-208.4238603291883,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
24,False,"{'a': 0.05, 'e': 0.9933947843142158}",25,0,-314.2275533145724,"{0: 5, 1: 9, 2: 3, 3: 4, 4: 4}",0
25,False,"{'a': 0.05, 'e': 0.9928086358538663}",20,0,-131.21667384323078,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.05, 'e': 0.992197667229329}",20,0,-91.99704376877906,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
